"N","24"
"Ab:(1)/4","1  8"
"A#:(1)/4","3  10"
"B:(1)/4","4  11"
"Bb:(1)/4","3  10"
"B#:(1)/4","5  0"
"C:(1)/5","7  0"
"Cb:(1)/5","6  11"
"C#:(1)/5","8  1"
"D:(1)/5","9  2"
"Db:(1)/5","8  1"
"D#:(1)/5","10   3"
"E:(1)/5","11   4"
"Eb:(1)/5","10   3"
"E#:(1)/5","0  5"
"F:(1)/5","0  5"
"Fb:(1)/5","11   4"
"F#:(1)/5","1  6"
"G:(1)/5","2  7"
"Gb:(1)/5","1  6"
"G#:(1)/5","3  8"
"A:(1)/5","4  9"
"Ab:(1)/5","3  8"
"A#:(1)/5","5  10"
"B:(1)/5","6  11"
"Bb:(1)/5","5  10"
"B#:(1)/5","7  0"
"C:(1)/6","9  0"
"Cb:(1)/6","8  11"
"C#:(1)/6","10   1"
"D:(1)/6","11   2"
"Db:(1)/6","10   1"
"D#:(1)/6","0  3"
"E:(1)/6","1  4"
"Eb:(1)/6","0  3"
"E#:(1)/6","2  5"
"F:(1)/6","2  5"
"Fb:(1)/6","1  4"
"F#:(1)/6","3  6"
"G:(1)/6","4  7"
"Gb:(1)/6","3  6"
"G#:(1)/6","5  8"
"A:(1)/6","6  9"
"Ab:(1)/6","5  8"
"A#:(1)/6","7  10"
"B:(1)/6","8  11"
"Bb:(1)/6","7  10"
"B#:(1)/6","9  0"
"C:(1)/7","11   0"
"Cb:(1)/7","10  11"
"C#:(1)/7","0  1"
"D:(1)/7","1  2"
"Db:(1)/7","0  1"
"D#:(1)/7","2  3"
"E:(1)/7","3  4"
"Eb:(1)/7","2  3"
"E#:(1)/7","4  5"
"F:(1)/7","4  5"
"Fb:(1)/7","3  4"
"F#:(1)/7","5  6"
"G:(1)/7","6  7"
"Gb:(1)/7","5  6"
"G#:(1)/7","7  8"
"A:(1)/7","8  9"
"Ab:(1)/7","7  8"
"A#:(1)/7","9  10"
"B:(1)/7","10  11"
"Bb:(1)/7","9  10"
"B#:(1)/7","11   0"
"C:(1)/9","2  0"
"Cb:(1)/9","1  11"
"C#:(1)/9","3  1"
"D:(1)/9","4  2"
"Db:(1)/9","3  1"
"D#:(1)/9","5  3"
"E:(1)/9","6  4"
"Eb:(1)/9","5  3"
"E#:(1)/9","7  5"
"F:(1)/9","7  5"
"Fb:(1)/9","6  4"
"F#:(1)/9","8  6"
"G:(1)/9","9  7"
"Gb:(1)/9","8  6"
"G#:(1)/9","10   8"
"A:(1)/9","11   9"
"Ab:(1)/9","10   8"
"A#:(1)/9","0  10"
"B:(1)/9","1  11"
