"N","24"
"C#:(1)/#4","7  1"
"F#:(1)/#4","0  6"
"C#:(1)/#5","9  1"
"F#:(1)/#5","2  6"
"C#:(1)/#6","11   1"
"F#:(1)/#6","4  6"
"C#:(1)/#7","1  1"
"F#:(1)/#7","6  6"
"C#:(1)/#9","4  1"
"F#:(1)/#9","9  6"
"C:(1,2,4)","0"
"C#:(1,2,4)","1"
"D:(1,2,4)","2"
"E:(1,2,4)","4"
"Eb:(1,2,4)","3"
"F:(1,2,4)","5"
"F#:(1,2,4)","6"
"G:(1,2,4)","7"
"A:(1,2,4)","9"
"Ab:(1,2,4)","8"
"B:(1,2,4)","11"
"Bb:(1,2,4)","10"
"C:(1,2,4)/1","0  0"
"C#:(1,2,4)/1","1  1"
"D:(1,2,4)/1","2  2"
"E:(1,2,4)/1","4  4"
"Eb:(1,2,4)/1","3  3"
"F:(1,2,4)/1","5  5"
"F#:(1,2,4)/1","6  6"
"G:(1,2,4)/1","7  7"
"A:(1,2,4)/1","9  9"
"Ab:(1,2,4)/1","8  8"
"B:(1,2,4)/1","11  11"
"Bb:(1,2,4)/1","10  10"
"C:(1,2,4)/2","2  0"
"C#:(1,2,4)/2","3  1"
"D:(1,2,4)/2","4  2"
"E:(1,2,4)/2","6  4"
"Eb:(1,2,4)/2","5  3"
"F:(1,2,4)/2","7  5"
"F#:(1,2,4)/2","8  6"
"G:(1,2,4)/2","9  7"
"A:(1,2,4)/2","11   9"
"Ab:(1,2,4)/2","10   8"
"B:(1,2,4)/2","1  11"
"Bb:(1,2,4)/2","0  10"
"C:(1,2,4)/3","4  0"
"C#:(1,2,4)/3","5  1"
"D:(1,2,4)/3","6  2"
"E:(1,2,4)/3","8  4"
"Eb:(1,2,4)/3","7  3"
"F:(1,2,4)/3","9  5"
"F#:(1,2,4)/3","10   6"
"G:(1,2,4)/3","11   7"
"A:(1,2,4)/3","1  9"
"Ab:(1,2,4)/3","0  8"
"B:(1,2,4)/3","3  11"
"Bb:(1,2,4)/3","2  10"
"C:(1,2,4)/4","5  0"
"C#:(1,2,4)/4","6  1"
"D:(1,2,4)/4","7  2"
"E:(1,2,4)/4","9  4"
"Eb:(1,2,4)/4","8  3"
"F:(1,2,4)/4","10   5"
"F#:(1,2,4)/4","11   6"
"G:(1,2,4)/4","0  7"
"A:(1,2,4)/4","2  9"
"Ab:(1,2,4)/4","1  8"
"B:(1,2,4)/4","4  11"
"Bb:(1,2,4)/4","3  10"
"C:(1,2,4)/5","7  0"
"C#:(1,2,4)/5","8  1"
"D:(1,2,4)/5","9  2"
"E:(1,2,4)/5","11   4"
"Eb:(1,2,4)/5","10   3"
"F:(1,2,4)/5","0  5"
"F#:(1,2,4)/5","1  6"
"G:(1,2,4)/5","2  7"
"A:(1,2,4)/5","4  9"
"Ab:(1,2,4)/5","3  8"
"B:(1,2,4)/5","6  11"
"Bb:(1,2,4)/5","5  10"
"C:(1,2,4)/6","9  0"
"C#:(1,2,4)/6","10   1"
"D:(1,2,4)/6","11   2"
"E:(1,2,4)/6","1  4"
"Eb:(1,2,4)/6","0  3"
"F:(1,2,4)/6","2  5"
"F#:(1,2,4)/6","3  6"
"G:(1,2,4)/6","4  7"
"A:(1,2,4)/6","6  9"
"Ab:(1,2,4)/6","5  8"
"B:(1,2,4)/6","8  11"
"Bb:(1,2,4)/6","7  10"
"C:(1,2,4)/7","11   0"
"C#:(1,2,4)/7","0  1"
"D:(1,2,4)/7","1  2"
"E:(1,2,4)/7","3  4"
